Name,City,Phone Number,Google Star Rating,Website
Xu's Public House 徐公館,New York,(212) 901-9971,4.2,https://www.xupublic.com/
Ribalta,Lisboa,933 221 019,4.1,
Gotham Restaurant,New York,(212) 380-8660,4.5,http://gotham.restaurant/
CICCIO Bar & Alimentari,New York,(646) 476-9498,4.6,http://www.ciccionyc.com/
Leon's Bagels,New York,(917) 388-3372,4.3,http://www.leonsbagels.com/
Oven Lisboa,Lisboa,21 827 3826,4.8,http://www.ovenlisboa.com/
Le Bernardin Privé,New York,(212) 554-1119,4.3,http://www.le-bernardinprive.com/
Moy Charcutaria&Garrafeira,Lisboa,21 346 7011,4.6,
BACARO,Lisboa,,4.7,
Izcalli Antojeria,Lisboa,,4.7,http://www.izcalli.pt/
MISTU,Porto,926 682 620,4.7,http://mistu.pt/
Le Refuge de Solaise,Val-d'Isère,04 58 83 00 90,4.4,https://lerefuge-valdisere.com/?utm_source=Yext&utm_medium=GMB&y_source=1_MjU3NjI1MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Arctic Juice & Cafe,Lyon,07 66 36 28 81,4.2,https://arcticjuicecafe.com/
Restaurant La Petite Lulu,Tignes,04 79 55 62 25,4.7,https://petitelulu-tignes.com/
Al Garage,Lisboa,21 191 9176,4.4,
Cantinho do Avillez - Cascais,Cascais,21 138 9666,4.4,https://www.cantinhodoavillez.pt/
Fortaleza do Guincho,Cascais,21 487 0491,4.7,http://www.fortalezadoguincho.com/
La Vita è Bella,Lisboa,21 346 0253,4,http://fullest.pt/restaurantes/la-vita-e-bella/
Cinnamon Club,,020 7222 2555,4.3,https://cinnamonclub.com/
Mona Verde Lisboa,Lisboa,914 023 304,4.7,http://www.monaexperience.com/
Sant' Eustachio Il Caffè,Roma,06 6880 2048,4.2,https://caffesanteustachio.com/
All’Antico Vinaio,Firenze,,4.6,https://www.allanticovinaio.com/
CH Otello Rooms I - Madrid,Madrid,910 05 41 72,3.7,
L'Astore Masseria,Cutrofiano,393 229 0830,4.7,http://www.lastoremasseria.it/
Maison,Lisboa,,,
Parcelles,Paris,01 43 37 91 64,4.6,https://www.parcelles-paris.fr/
Ristorante Grottino,Vila Nova de Gaia,22 374 5000,4.6,https://www.tripadvisor.pt/Restaurant_Review-g580268-d7772673-Reviews-Ristorante_Grottino-Vila_Nova_de_Gaia_Porto_District_Northern_Portugal.html
Martinucci Laboratory,Lecce,0832 309535,4.3,http://www.martinuccilaboratory.it/
Masseria Il Frantoio,,0831 330276,4.8,https://www.masseriailfrantoio.it/?utm_source=gbp&utm_medium=organic
Gelateria La Romana,Lisboa,21 593 0975,4.8,https://www.gelateriaromana.com/82-gelateria-lisboa.php
Nannarella,Lisboa,926 878 553,4.8,http://nannarella.pt/
Elle Effe Restaurant,Roma,06 4566 7792,4.5,https://elleeffe-restaurant.eatbu.com/
Borgo Antico Bistrot,Ostuni,0831 336475,4.4,
Osteria da Fortunata,Roma,06 6066 7391,4,https://www.osteriadafortunata.it/
Pizzeria Romana BIO,Lisboa,21 886 0055,4.6,https://www.romanapizza.it/
Osteria Del Tempo Perso,Ostuni,0831 304819,4.2,http://www.osteriadeltempoperso.com/
Osteria Ricanatti,Ostuni,0831 156 1831,4.7,
Nomade Ostuni,Pilone,347 457 0894,4,http://www.nomadeostuni.it/
Restaurante A Gina,Lisboa,21 342 0296,4.2,https://www.facebook.com/restauranteagina
Gustapizza,Firenze,055 285068,4.5,https://m.facebook.com/GustapizzaFirenze/
Ostro San Frediano,Firenze,055 281400,5,https://www.instagram.com/ostrosanfrediano/
Ristorante Pensavo Peggio,Firenze,055 230 2987,4.6,
Langosteria Café Milano,Milano,02 7601 8167,4.6,http://langosteria.com/
Garrafeira Estado d'Alma,Lisboa,21 410 5162,4.8,http://www.garrafeiraestadodalma.pt/
Delta The Coffee House Avenida da Liberdade,Lisboa,21 342 7351,4.3,
Enoteca LX,Lisboa,913 962 868,4.6,https://enotecalx.com/
Tannico Wine Bar,Milano,02 0994 6657,4.3,http://www.tannicowinebar.it/
Trattoria San Giacomo,Bellagio,031 950329,4.4,http://www.trattoriabellagio.it/
La Lanterna Bellagio,Bellagio,031 951786,4.3,http://www.lalanternabellagio.com/
B-Lake Restaurant Bellagio,Bellagio,031 736008,4.4,http://www.blakerestaurant.com/
Dispensa 63,Bellagio,334 941 1539,4.9,https://dispensa63bellagio.com/
charcuterie française chez Fred,Lisboa,21 820 4468,4.7,
RED NOSE / natural wine bar & merceria,Lisboa,923 083 635,4.9,https://www.instagram.com/rednoselisbon/
Winelivery PoP,Milano,02 3858 3592,4.9,https://www.winelivery.com/it/
Rivoire,Firenze,055 214412,3.7,https://rivoire.it/
Il Santino,Firenze,055 230 2820,4.5,http://ilsantobevitore.com/pdf/santo_subito.pdf
Trattoria dall'Oste Chianineria,Firenze,055 213142,4.6,https://trattoriadalloste.com/
Buchetta del vino,Firenze,,4.5,
Ristorante Le Muse Milano,Milano,02 2222 8734,4.5,https://ristorantelemuse.com/
Ristorante Le Regioni,Milano,02 668 6525,4.4,https://m.facebook.com/Ristorante-Le-Regioni-578550282238233
Bosco Verticale Restaurant,Milano,02 688 0836,4.6,
Trattoria de la Trebia Milano,Milano,02 551 3380,4.5,http://www.trattorialatrebia.it/
Da Tuccino,Polignano a Mare,080 424 1560,4.4,http://www.tuccino.it/
La Locanda Porta Picc,Polignano a Mare,388 194 5973,4.6,https://www.ristorantelalocandaportapicc.it/
Terrazze Monachile,Polignano a Mare,080 426 5565,4.3,https://www.terrazzemonachile.com/
Il Gattopardo,Lisboa,21 389 6622,4.5,https://www.dompedrolisboa.com/il-gattopardo
Da Giacomo,Milano,02 7602 3313,4.3,https://giacomomilano.com/it/i-luoghi/ristoranti/da-giacomo-milano
N'Ombra de Vin,Milano,02 659 9650,4,https://www.nombradevin.it/
Pastry Confectionery Massimo 1970,Milano,02 5832 1188,3.7,
Osteria del Corso,Milano,02 659 7441,4.4,http://www.osteriadelcorso.com/
DVCA,Milano,02 3674 6050,4.7,http://www.dvca.it/
Terrazza 241,Como,031 338 2688,4.4,https://www.terrazza241.it/
Blue Restaurant & Bar,Lisboa,21 040 5400,4.5,http://www.thevintagelisbon.com/
Syra Coffee - Atocha,Madrid,666 72 07 43,4.9,http://www.syra.coffee/
Golden Poppy,Paris,01 55 07 85 10,4.3,https://goldenpoppy.com/
Espaço 20 Lounge Coffee & Food,Costa da Caparica,21 290 0087,3.8,https://www.facebook.com/espaco20bar/
Irmão,Costa da Caparica,21 060 5992,4.3,https://www.praia-irmao.com/
Pomme Eatery,Lisboa,935 710 032,4.7,https://letsumai.com/widget/pomme-eatery
Âmago,Lisboa,913 701 177,5,https://www.instagram.com/amago.restaurante/
Pepe Nero,Marrakech,05243-89067,4.7,http://www.pepenero-marrakech.com/
La terrasse des épices - Restaurant Marrakech,Marrakech,05243-75904,4.3,https://www.terrassedesepices.com/
المقهى الكبير للبريد,Marrakech,05244-33038,4.2,http://www.grandcafedelaposte.restaurant/
Hotel La Maison Arabe,Marrakesh,05243-87010,4.6,http://www.lamaisonarabe.com/
Al Fassia Guéliz,Marrakech,05244-34060,4.3,http://www.alfassia.com/
Amal Hope Hotel,Marrakech - Médina,05244-45043,3.9,https://hotel-el-amal.business.site/?utm_source=gmb&utm_medium=referral
Nomad Residences,Lisboa,967 801 009,,http://nomad-bay.com/
Mandala Society,Marrakesh,05243-81920,4.7,http://mandalasociety.co/
مطعم الميدة,Marrakech,05244-43662,4.5,http://lmidamarrakech.com/
Toro Toro Marrakech,Marrakech,0662-680394,4.7,http://www.torotoromarrakesh.com/
Sahbi Sahbi,Marrakech,0662-682312,4,http://sahbisahbi.com/
Osteria del Treno,Milano,02 670 0479,4.2,https://www.osteriadeltreno.it/
Via Graça,Lisboa,21 887 0830,4.4,http://www.vgraca.pt/
Boavista Social Club,Lisboa,,4.2,https://instagram.com/boavista.socialclub?igshid=YmMyMTA2M2Y=
Ponto Final,Almada,21 276 0743,4.4,https://www.facebook.com/pontofinalalmada/
ZEB,Brugge,050 82 07 23,4.3,https://www.zeb.be/?utm_source=google&utm_medium=organic&utm_campaign=mijn_bedrijf
Vini E Vecchi Sapori,Firenze,055 293045,4.6,
Flavio al Velavevodetto,Roma,06 574 4194,4.2,https://www.ristorantevelavevodetto.it/prenota-testaccio.html
XS Lounge Beach Bar,Costa da Caparica,21 291 2459,4.6,https://www.tripadvisor.pt/Restaurant_Review-g656856-d4170502-Reviews-XS_lounge-Costa_da_Caparica_Setubal_District_Alentejo.html
Selma assiste,São Domingos de Rana,21 444 7731,4.7,http://www.selmaassiste.com/
Barabba,København,33 10 10 40,4.3,http://www.barabba.dk/
Ved Stranden 10,København,35 42 40 40,4.5,http://www.vedstranden10.dk/
Chiostro del Bramante,Roma,06 6880 9035,4.6,http://www.chiostrodelbramante.it/
Matto Matto Pizzeria Grill Ristorante,Firenze,055 269 3813,4.5,https://www.mattomatto.it/
Babae,Firenze,055 614 4429,4.5,http://www.babaefirenze.it/
Il Vezzo,Firenze,055 281096,4.8,https://www.ilvezzofirenze.it/
Trattoria Zà Zà,Firenze,055 215411,4.5,http://www.trattoriazaza.it/
Buca Poldo,Firenze,055 239 6578,4.6,http://www.bucapoldo.com/
La Loggia del Piazzale Michelangelo,Firenze,055 234 2832,4.2,https://ristorantelaloggia.it/
SALSA&LOURO,São Miguel de Alcainça,,4.6,https://salsalouro.webnode.pt/
Le comptoir,Lisboa,,,
AOC Metalomecânica,Santa Eufémia,244 849 090,4.5,http://www.grupoaoc.com/
Majordomo,Los Angeles,(323) 545-4880,4.7,http://www.majordomo.la/
Sqirl,Los Angeles,(323) 284-8147,4.4,https://sqirlla.com/
Petit Trois,Los Angeles,(323) 468-8916,4.4,http://www.petittrois.com/
Osteria Mozza,Los Angeles,(323) 297-0100,4.4,http://www.osteriamozza.com/
Felix Trattoria,Los Angeles,(424) 387-8622,4.5,http://felixla.com/
Lastage,Amsterdam,020 737 0811,4.5,http://www.restaurantlastage.nl/
THE DUCHESS,Amsterdam,020 811 3322,4.3,https://the-duchess.com/
Foodhallen,Amsterdam,,4.5,http://www.foodhallen.nl/
Ciel Bleu,Amsterdam,020 678 7450,4.7,https://www.cielbleu.nl/
White Room,Le Kremlin-Bicêtre,01 77 01 09 84,4.4,http://whiteroomchicha.eatbu.com/
Restaurant Vermeer,Amsterdam,020 556 4885,4.6,https://restaurantvermeer.nl/
Breda,Breda,,,http://www.breda.nl/
Mammy Choux Confeitisserie,Seixal,21 222 3627,4.4,http://www.mammychoux.pt/
Restaurant Daalder*,Amsterdam,020 624 8864,4.4,http://www.daalderamsterdam.nl/
Taveggia 1909,Milano,02 5003 3040,4.2,http://www.gamberini.eu/
Cafetaria Picasso,Lisboa,21 355 6625,4.1,
La Vecchia Lira,Milano,02 659 9136,4.3,http://www.osteriavecchialira.it/
Trattoria La Pesa dal 1902,Milano,02 3651 4525,4.3,http://www.trattorialapesa1902.it/
La Libera,Milano,02 805 3603,4.3,https://lalibera.it/
Giannino dal 1899,Milano,02 3651 9520,4.3,http://www.gianninoristorante.it/
Il Luogo di Aimo e Nadia,Milano,02 416886,4.5,https://www.illuogoaimoenadia.com/
Hugos Manly,Manly,(02) 8116 8555,4.4,http://www.hugos.com.au/
Panda Cantina,Lisboa,,4.5,
Café sydney,Vila Nova de Famalicão,913 423 762,4.5,
A Tavola Darlinghurst,Darlinghurst,(02) 9331 7871,4.5,http://www.atavola.com.au/darlinghurst
Firedoor Restaurant,Surry Hills,(02) 8204 0800,4.2,https://www.firedoor.com.au/
Restaurant Hubert,Sydney,(02) 9232 0881,4.6,https://www.swillhouse.com/venues/restaurant-hubert
Chiswick Woollahra,Woollahra,(02) 8388 8688,4.5,https://www.chiswickwoollahra.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=Chiswick_Woollahra&utm_term=plcid_9642775095776039722
Spice Temple,Ennis,(065) 686 6796,4.4,https://spice-temple-indian-restaurant.business.site/?utm_source=gmb&utm_medium=referral
North Bondi Fish,North Bondi,(02) 9130 2155,4,https://www.northbondifish.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=North_Bondi_Fish&utm_term=plcid_2446569835991579604
Real Dead Ringer - The Meat Loaf Show,,07793 541811,,https://www.realdeadringer.uk/
NOMAD Sydney,Surry Hills,(02) 9280 3395,4.6,https://nomad.sydney/
"Chin 2000, Lda.",Lisboa,21 316 2823,,https://www.racius.com/chin-2000-lda/
Icebergs Dining Room and Bar,Bondi Beach,(02) 9365 9000,4.2,http://www.idrb.com/
Continental,Lisboa,,2.8,
Sixpenny Handley,Sixpenny Handley,,,
Mr Wong,,(21) 2557-3354,4.3,http://www.mrwong.com.br/
St. Peter's School,Palmela,21 233 6990,4,http://www.st-peters-school.com/
Tasco da Ester,Barreiro,,4.6,
Aria Restaurant Sydney,Sydney,(02) 9240 2255,4.5,https://www.ariasydney.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=Aria_Restaurant_Sydney&utm_term=plcid_18420151015366914459
La Trattoria,Lisboa,21 385 3043,4.3,http://www.latrattoria.pt/
Kabuki Lisboa,Lisboa,21 249 1683,4.5,https://www.kabukilisboa.pt/
Il Caminetto Restaurant,Roma,06 808 3946,4,http://www.caminettoroma.it/
Cinnamon Bear Bar & Grille,Whistler,(604) 966-5057,4,https://www.hilton.com/en/hotels/ywsvrhf-hilton-whistler-resort-and-spa/dining/?SEO_id=GMB--R-YWSVRHF&y_source=1_MjY1ODk0NTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
21 Steps Kitchen + Bar,Whistler,(604) 966-2121,4.4,http://www.21steps.ca/
Restaurante Bota Alta,Lisboa,21 342 7959,4.3,https://www.tripadvisor.pt/Restaurant_Review-g189158-d697220-Reviews-Bota_Alta-Lisbon_Lisbon_District_Central_Portugal.html
Ventiquattro 24,Lisboa,21 301 1100,4.5,
Araxi Restaurant & Oyster Bar,Whistler,(604) 932-4540,4.5,http://www.araxi.com/
Bearfoot Bistro,Whistler,(604) 932-3433,4.5,http://www.bearfootbistro.com/
Vij's,Vancouver,(604) 736-6664,4.4,https://vijs.ca/vijs-restaurant/
Chancho Tortilleria,Vancouver,(604) 336-9219,4.6,http://www.chancho.ca/
Fat Mao Noodles (Thai Soup Noodles)-Chinatown,Vancouver,(604) 569-8192,4.5,http://www.fatmaonoodles.com/
Boa-Bao,Lisboa,919 023 030,4.4,https://www.boabao.pt/
Kevin & Kevin Juice Bar & Cocktail Lounge,Vancouver,(604) 558-4305,4.1,
The Mackenzie Room,Vancouver,(604) 253-0705,4.6,http://www.themackenzieroom.com/
Hawksworth Restaurant,Vancouver,(604) 673-7000,4.4,https://hawksworthrestaurant.com/
Joe Fortes Seafood & Chop House,Vancouver,(604) 669-1940,4.5,http://www.joefortes.ca/
Earls Kitchen + Bar,McLean,(703) 847-1870,4.2,https://www.earls.ca/locations/tysons-corner
Orteá,Lisboa,936 217 616,4.6,http://letsumai.com/widget/ortea-vegan-collective-lisboa
EL&N Gae Aulenti,Milano,02 4507 6118,4.1,https://it.elnlondon.com/
La Gioia,Milano,388 883 9951,4.4,http://www.lagioiasanmarco.com/
Terrazza Aperol,Milano,,3.8,https://www.ilmercatodelduomo.it/
Marchesi 1824,Milano,02 9418 1710,4.3,https://www.pasticceriamarchesi.com/eu/it.html
Giacomo Arengario,Milano,02 7209 3814,4.1,https://giacomomilano.com/location/arengario/
La Bottega di Gio,Lisboa,934 632 139,4.7,https://www.facebook.com/labottegadigiolisboa/
Carmo Wood,Lisboa,21 313 2200,3.6,http://www.carmo.com/
Catch me Lisboa,Lisboa,21 396 3668,4.3,http://www.catch-me.pt/
Cobaia,Lisboa,938 971 562,4.7,
Chambar Restaurant,Vancouver,(604) 879-7119,4.5,http://www.chambar.com/
Pabe,Lisboa,21 353 5675,4.6,http://www.pabe.pt/
El Papalote,Madrid,912 37 40 05,4.9,http://www.elpapaloteplata.com/
Beretta ® Assistência Oficial,Corroios,21 145 1065,,https://beretta.pt/
Trick Dog,San Francisco,(415) 471-2999,4.5,https://www.trickdogbar.com/
Café Santiago,Lisboa,,4.4,
Dandelion Chocolate 16th Street Factory,San Francisco,(415) 349-0942,4.8,https://store.dandelionchocolate.com/pages/home
Salt & Straw,Seattle,(206) 294-5581,4.7,https://www.saltandstraw.com/
Trestle Restaurant,San Francisco,(415) 772-0922,4.6,http://trestlesf.com/
Cotogna,San Francisco,(415) 775-8508,4.6,http://cotognasf.com/
Estrada Serafina,Lisboa,,,
Amelie San Francisco,San Francisco,(415) 292-6916,4.5,https://www.sfamelie.com/
Funky Chunky Cookies,Lisboa,21 386 0671,4.6,https://www.funkychunkycookies.com/
Bowl'sta Healthy Bowls,Lisboa,,,
La nouvelle Cocotte,Málaga,952 22 70 00,4,https://www.facebook.com/restaurantelacocotte/
Chouquet's,Épône,06 60 03 74 19,4.9,https://chouquets.kalendes.com/
Wrecking Ball Coffee Roasters,San Francisco,(415) 638-9227,4.4,http://www.wreckingballcoffee.com/
Brixton Barber Shop,Barreiro,938 811 347,5,http://www.instagram.com/brixton.barber.shop
The Blue Barn Ltd,Pool in Wharfedale,0113 284 3121,4.6,http://www.thebluebarn.co.uk/
State Bird Provisions,San Francisco,(415) 795-1272,4.6,http://www.statebirdsf.com/
WIP - Work in Progress Personal Training,Lisboa,926 494 742,4.9,https://www.instagram.com/wip.fitness1/?hl=pt
Che Fico,San Francisco,(415) 416-6959,4.3,https://www.chefico.com/
Caffe Reggio,New York,(212) 475-9557,4.3,https://www.caffereggio.com/
Bread Story,New York,(347) 633-3780,4.7,http://www.bread-story.com/
Punjabi Deli,New York,(212) 533-3356,4.7,https://www.facebook.com/PunjabiGroceryDeli/
Champion Pizza,Lisboa,920 049 586,4.7,
Dr. Wine,Lisboa,21 094 1548,3.8,
Virginia's,New York,(646) 952-0032,4.5,http://www.virginiasnyc.com/
Rosie's Hair and Beauty Salon,Lagos,937 771 948,4.4,
“O David”,Lisboa,,4,
Pump Your Heart in Lisbon,Lisboa,938 528 072,3.8,
Uncle Paul's Pizza NY,New York,(212) 922-1200,4.4,https://www.unclepaulspizzamenu.com/
Apulia,,,,http://www.regione.puglia.it/
Dominique Ansel Bakery,New York,(212) 219-2773,4.3,http://www.dominiqueanselny.com/
MarieBelle,New York,(212) 925-6999,4.7,http://www.mariebelle.com/
Lil' Frankie's,New York,(212) 420-4900,4.3,http://www.lilfrankies.com/
Gotan,New York,(212) 431-5200,4.5,https://www.gotancafe.com/
Pardon My French,Paris,01 55 32 06 16,4.9,http://www.pardon-myfrench.com/
Indian dosa - Saldanha Residence,Lisboa,936 656 390,4.2,http://www.indiandosa.pt/
Las Dos Manos,Lisboa,21 589 7269,4.5,https://www.lasdosmanos.pt/
Rosamar,Lisboa,967 335 758,4.7,https://letsumai.com/widget/rosamar
Acaso,Lisboa,936 248 218,4.7,https://acasorestaurante.eatbu.com/?lang=en
Faz Frio,Lisboa,21 581 4296,4.3,http://www.fazfrio.pt/
Bilmonte,,,4.8,https://www.bilmonte.it/
Jamavar,,020 7499 1800,4.3,https://jamavarrestaurants.com/indian-restaurant-mayfair/
Christopher cafe,Olival Basto,,5,
The Delaunay,,020 7499 8558,4.5,https://www.thedelaunay.com/?utm_source=google&utm_medium=local&utm_campaign=GoogleMyBusiness
Ave Mario,,,4.8,https://www.bigmammagroup.com/en/trattorias/ave-mario
Ikoyi Restaurant,,020 3583 4660,4.5,http://ikoyilondon.com/
The Barbary,,,4.6,http://www.thebarbary.co.uk/
Le Comptoir Gourmand,Toulouse,05 62 57 97 78,4.2,http://www.lecomptoir-gourmand.com/
"Chestnut Bakery, Covent Garden",,020 3883 5626,3.9,http://www.chestnutbakery.com/
"The Lamb & Flag, Covent Garden",,020 7497 9504,4.5,https://www.lambandflagcoventgarden.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P154&y_source=1_MTIyMzcxNTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Cambridge,Cambridge,,,https://www.cambridge.gov.uk/
